city,foodathome,foodaway,alcohol,aveannual,pretaxincome,region
"Los
Angeles",4455,3056,478,55852,70900,west
"San
Francisco",4551,3850,698,70807,92846,west
San Diego,3856,3059,625,60279,77112,west
Seattle,4803,3462,668,63759,80067,west
Phoenix,4360,2998,577,54168,60326,west
"Washington,
D.C.",4639,4123,681,80452,115597,south
Baltimore,3574,3232,519,62012,90429,south
Atlanta,3826,2548,401,50782,69026,south
Miami,3479,2216,264,40604,56094,south
"Dallas-
Fort Worth",3928,3249,505,56827,72870,south
Houston,3974,3180,519,59724,79661,south
New York,4111,3114,498,60791,80862,northeast
Philadelphia,4467,3195,644,55766,69975,northeast
Boston,5575,3131,764,65650,83233,northeast
Chicago,4601,2772,436,57919,74908,midwest
Detroit,4534,2735,482,53835,81213,midwest
"Minneapolis-
St. Paul",4168,3386,674,66678,90093,midwest
Cleveland,3783,2563,411,49438,68443,midwest
